Origination_channel,Seller,ORIG_INT_R,ORIG_UPB,ORIG_LOAN_T,ORIG_LTV,ORIG_CLTV,NUM_BOR,ORIG_DTIR,BOR_C_SCORE,FST_TIME_IND,LOAN_PURPOSE,NUM_UNITS,OCC_TYPE,PROP_STATE,ZIP_SHORT,PRIM_INS_PERC,PROD_TYPE,CO_BOR_C_SCORE,INSUR_TYPE,RELOC_IND,Default
R,"FLAGSTAR BANK, FSB",6.773484728,60198.33228,195,86.23521116,115.9546665,1,47.90006394,307.1977896,N,P,2,P,NH,420,2.995722865,FRM,353.9116945,1,N,1
R,WELLS FARGO BANK,6.477443446,252313.533,195,87.51123083,88.0955129,1,47.57592453,359.2806426,Y,P,1,P,GU,741,3.805529222,FRM,331.714511,1,N,1
R,DITECH FINANCIAL LLC,6.822024755,129370.7317,195,83.5252163,118.0224888,1,61.29284278,308.3841381,Y,P,2,P,ID,212,1.355505206,FRM,499.9291392,1,N,1
R,FRANKLIN AMERICAN MORTGAGE COMPANY,5.57586819,36284.18088,195,87.12650465,110.1747217,1,52.05988553,358.1647946,N,P,1,P,GU,796,8.151770654,FRM,492.6474311,1,N,1
C,STONEGATE MORTGAGE CORPORATION,6.118382991,126145.4104,195,88.39260718,100.6237747,1,61.31595474,395.6817485,N,C,4,P,ID,277,8.905858902,FRM,381.5537046,1,N,1
C,STONEGATE MORTGAGE CORPORATION,6.25665511,119169.223,195,84.01380118,116.4876722,1,52.20703197,347.719738,N,P,2,P,AZ,744,9.079577549,FRM,481.462966,1,N,1
R,FRANKLIN AMERICAN MORTGAGE COMPANY,6.541220128,296276.4381,195,84.65227501,104.6738717,1,51.52793957,403.3073763,N,C,2,P,WA,491,8.620734306,FRM,422.452361,1,N,1
R,WELLS FARGO BANK,7.223065206,71835.31381,195,83.66674399,93.65305449,1,60.64747577,336.6973229,N,P,1,P,MN,346,4.769528704,FRM,310.1365143,1,N,1
R,FRANKLIN AMERICAN MORTGAGE COMPANY,5.884167318,26134.0045,195,86.87215098,86.96573131,1,48.62366945,487.9344224,N,P,2,P,WI,523,5.16866883,FRM,392.8480691,1,N,1
R,FRANKLIN AMERICAN MORTGAGE COMPANY,7.65610992,191042.1283,195,87.17301486,108.3395202,1,55.57920812,420.5662276,N,P,4,P,ME,81,2.382853146,FRM,337.953403,1,N,1
R,WELLS FARGO BANK,6.392141919,57689.96019,195,82.62481456,105.4312425,1,60.73794345,449.1813564,N,P,2,P,PR,525,2.841432938,FRM,349.974688,1,N,1
C,WELLS FARGO BANK,7.658830491,10233.18951,195,87.88698133,104.0474017,1,54.99465582,401.3899949,N,P,4,P,IN,638,5.274017898,FRM,460.3136036,1,N,1
R,WELLS FARGO BANK,6.326360558,29227.60481,195,85.53690813,92.43099285,1,43.02785717,367.16539,Y,P,1,P,PR,762,4.246767022,FRM,305.5458796,1,N,1
R,WELLS FARGO BANK,6.358483704,85796.02168,195,82.15657294,100.7581001,1,52.81562703,350.2810348,Y,P,3,P,MD,113,4.120284335,FRM,400.3907409,1,N,1
C,WELLS FARGO BANK,6.241684828,129911.5213,195,80.33085571,91.04423523,1,56.82555639,325.3606462,N,P,2,P,IL,704,2.182036852,FRM,325.112366,1,N,1
R,WELLS FARGO BANK,7.855391265,147877.3451,195,84.2225868,102.3469727,1,52.4521838,428.3391403,N,C,1,P,IL,742,9.889634339,FRM,448.0123529,1,N,1
C,FRANKLIN AMERICAN MORTGAGE COMPANY,6.856425622,145678.2521,195,80.38743727,91.10121758,1,55.68230135,337.6003114,N,P,1,P,ID,222,7.967672975,FRM,330.3768261,1,N,1
R,WELLS FARGO BANK,6.490797232,285984.3118,195,82.96418324,88.3822848,1,53.94429807,354.9097991,N,P,1,P,UT,335,6.493682123,FRM,458.7541162,1,N,1
R,WELLS FARGO BANK,6.501839046,181317.1592,195,87.37332251,119.3986918,1,43.65406231,390.7429624,N,P,2,P,AZ,41,1.413799066,FRM,325.4851462,1,N,1
R,FRANKLIN AMERICAN MORTGAGE COMPANY,5.678877016,196167.334,195,82.91941612,94.90708372,1,62.21921719,493.4796789,N,P,1,P,DC,536,3.908900499,FRM,359.3760864,1,N,1
R,FRANKLIN AMERICAN MORTGAGE COMPANY,5.679526797,243892.0463,195,81.63708162,98.53029116,1,59.80013923,457.5410493,Y,P,2,P,ID,242,7.281026273,FRM,476.1242622,1,N,1
